T,latent_size,std,classifier,accuracy,Classification_weighted_avg_precision,Classification_weighted_avg_recall,Classification_weighted_avg_f1,Classification_weighted_avg_support,generation_time,conformal_coverage,conformal_avg_set_size
1000,8,2,"KernelPCA-poly(degree=3,coef0=1) [Logistic]",0.522,0.61,0.52,0.51,500,1.0646,0.43,0.67
1000,8,2,KernelPCA-sigmoid(coef0=0) [Logistic],0.554,0.72,0.55,0.54,500,0.9515,0.248,0.26
1000,8,2,KernelPCA-sigmoid(coef0=1) [Logistic],0.1,0.01,0.1,0.02,500,0.9709,0,0
1000,10,1,PCA [Logistic],0.81,0.84,0.81,0.81,500,0.8042,0.644,0.72
1000,10,1,KernelPCA-rbf(gamma=0.002) [Logistic],0.872,0.91,0.87,0.87,500,1.0095,0.524,0.52
1000,10,1,KernelPCA-rbf(gamma=0.003) [Logistic],0.876,0.92,0.88,0.88,500,0.985,0.55,0.55
1000,10,1,KernelPCA-rbf(gamma=0.005) [Logistic],0.734,0.87,0.73,0.74,500,1.648,0.326,0.33
1000,10,1,"KernelPCA-poly(degree=2,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,0.8938,0,0
1000,10,1,"KernelPCA-poly(degree=2,coef0=1) [Logistic]",0.992,0.99,0.99,0.99,500,0.8585,0.974,0.98
1000,10,1,"KernelPCA-poly(degree=3,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,1.1062,0,0
1000,10,1,"KernelPCA-poly(degree=3,coef0=1) [Logistic]",0.94,0.95,0.94,0.94,500,1.0818,0.918,0.95
1000,10,1,KernelPCA-sigmoid(coef0=0) [Logistic],0.562,0.63,0.56,0.53,500,1.0001,0.22,0.22
1000,10,1,KernelPCA-sigmoid(coef0=1) [Logistic],0.1,0.01,0.1,0.02,500,0.9784,0,0
1000,10,1.5,PCA [Logistic],0.664,0.72,0.66,0.67,500,0.7266,0.558,0.71
1000,10,1.5,KernelPCA-rbf(gamma=0.002) [Logistic],0.808,0.87,0.81,0.81,500,1.6476,0.522,0.53
1000,10,1.5,KernelPCA-rbf(gamma=0.003) [Logistic],0.838,0.89,0.84,0.84,500,0.982,0.54,0.55
1000,10,1.5,KernelPCA-rbf(gamma=0.005) [Logistic],0.7,0.85,0.7,0.72,500,1.004,0.362,0.36
1000,10,1.5,"KernelPCA-poly(degree=2,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,0.9021,0,0
1000,10,1.5,"KernelPCA-poly(degree=2,coef0=1) [Logistic]",0.966,0.97,0.97,0.97,500,1.3546,0.912,0.93
1000,10,1.5,"KernelPCA-poly(degree=3,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,1.0984,0,0
1000,10,1.5,"KernelPCA-poly(degree=3,coef0=1) [Logistic]",0.866,0.88,0.87,0.87,500,1.092,0.84,0.94
1000,10,1.5,KernelPCA-sigmoid(coef0=0) [Logistic],0.544,0.73,0.54,0.53,500,0.9827,0.226,0.23
1000,10,1.5,KernelPCA-sigmoid(coef0=1) [Logistic],0.1,0.01,0.1,0.02,500,1.6156,0,0
1000,10,2,PCA [Logistic],0.542,0.6,0.54,0.55,500,0.6297,0.484,0.77
1000,10,2,KernelPCA-rbf(gamma=0.002) [Logistic],0.752,0.84,0.75,0.76,500,0.977,0.484,0.52
1000,10,2,KernelPCA-rbf(gamma=0.003) [Logistic],0.766,0.84,0.77,0.77,500,0.9901,0.518,0.54
1000,10,2,KernelPCA-rbf(gamma=0.005) [Logistic],0.682,0.81,0.68,0.7,500,1.0008,0.374,0.39
1000,10,2,"KernelPCA-poly(degree=2,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,1.4195,0,0
1000,10,2,"KernelPCA-poly(degree=2,coef0=1) [Logistic]",0.91,0.92,0.91,0.91,500,1.2012,0.82,0.86
1000,10,2,"KernelPCA-poly(degree=3,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,1.0862,0,0
1000,10,2,"KernelPCA-poly(degree=3,coef0=1) [Logistic]",0.786,0.8,0.79,0.78,500,1.6423,0.754,0.9
1000,10,2,KernelPCA-sigmoid(coef0=0) [Logistic],0.516,0.72,0.52,0.51,500,0.9858,0.232,0.24
1000,10,2,KernelPCA-sigmoid(coef0=1) [Logistic],0.1,0.01,0.1,0.02,500,1.0004,0,0
1000,12,1,PCA [Logistic],0.822,0.85,0.82,0.83,500,0.6755,0.69,0.75
1000,12,1,KernelPCA-rbf(gamma=0.002) [Logistic],0.848,0.9,0.85,0.85,500,1.1315,0.512,0.51
1000,12,1,KernelPCA-rbf(gamma=0.003) [Logistic],0.858,0.9,0.86,0.86,500,1.3704,0.54,0.54
1000,12,1,KernelPCA-rbf(gamma=0.005) [Logistic],0.704,0.86,0.7,0.72,500,1.0694,0.328,0.33
1000,12,1,"KernelPCA-poly(degree=2,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,0.9239,0,0
1000,12,1,"KernelPCA-poly(degree=2,coef0=1) [Logistic]",0.988,0.99,0.99,0.99,500,1.4367,0.974,0.98
1000,12,1,"KernelPCA-poly(degree=3,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,1.1755,0,0
1000,12,1,"KernelPCA-poly(degree=3,coef0=1) [Logistic]",0.982,0.98,0.98,0.98,500,1.1339,0.972,0.99
1000,12,1,KernelPCA-sigmoid(coef0=0) [Logistic],0.55,0.64,0.55,0.52,500,1.0416,0.224,0.22
1000,12,1,KernelPCA-sigmoid(coef0=1) [Logistic],0.1,0.01,0.1,0.02,500,1.0261,0,0
1000,12,1.5,PCA [Logistic],0.692,0.73,0.69,0.7,500,0.6851,0.592,0.76
1000,12,1.5,KernelPCA-rbf(gamma=0.002) [Logistic],0.784,0.86,0.78,0.79,500,1.6887,0.486,0.5
1000,12,1.5,KernelPCA-rbf(gamma=0.003) [Logistic],0.782,0.85,0.78,0.79,500,1.0829,0.528,0.54
1000,12,1.5,KernelPCA-rbf(gamma=0.005) [Logistic],0.656,0.82,0.66,0.67,500,1.063,0.366,0.38
1000,12,1.5,"KernelPCA-poly(degree=2,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,0.9522,0,0
1000,12,1.5,"KernelPCA-poly(degree=2,coef0=1) [Logistic]",0.954,0.96,0.95,0.95,500,0.9314,0.892,0.91
1000,12,1.5,"KernelPCA-poly(degree=3,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,1.143,0,0
1000,12,1.5,"KernelPCA-poly(degree=3,coef0=1) [Logistic]",0.926,0.93,0.93,0.93,500,1.8067,0.916,0.97
1000,12,1.5,KernelPCA-sigmoid(coef0=0) [Logistic],0.526,0.72,0.53,0.51,500,1.0945,0.226,0.23
1000,12,1.5,KernelPCA-sigmoid(coef0=1) [Logistic],0.1,0.01,0.1,0.02,500,1.0342,0,0
1000,12,2,PCA [Logistic],0.592,0.64,0.59,0.6,500,0.6831,0.536,0.81
1000,12,2,KernelPCA-rbf(gamma=0.002) [Logistic],0.702,0.81,0.7,0.71,500,1.0709,0.464,0.5
1000,12,2,KernelPCA-rbf(gamma=0.003) [Logistic],0.718,0.81,0.72,0.73,500,1.2306,0.512,0.55
1000,12,2,KernelPCA-rbf(gamma=0.005) [Logistic],0.628,0.8,0.63,0.65,500,1.0403,0.374,0.41
1000,12,2,"KernelPCA-poly(degree=2,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,0.9328,0,0
1000,12,2,"KernelPCA-poly(degree=2,coef0=1) [Logistic]",0.88,0.89,0.88,0.88,500,0.9415,0.83,0.89
1000,12,2,"KernelPCA-poly(degree=3,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,1.1498,0,0
